ageYears,size,sex,wtPntl,weight,hr,lb,ub,eVal,eValLo
0.5,Toy and Small,Male,0.25,6.7,3.0836181094971664,2.8649163706399587,3.319015082836378,3.739675378531789,3.528007501330848
0.5,Toy and Small,Male,0.5,9.8,2.6561097678846157,2.484373081895371,2.8397180562227584,3.318918836816201,3.141238745226782
0.5,Toy and Small,Male,0.75,13.3,2.313466149856297,2.1590622879830343,2.478912098238166,2.9586870906688105,2.788242430143262
0.5,Toy and Small,Female,0.25,5.55,2.0504761549916277,1.8966558523427213,2.216771406892807,2.664853514918887,2.4844002343563774
0.5,Toy and Small,Female,0.5,8,1.81211043576473,1.6887596442081256,1.9444710457580936,2.3820146078510525,2.22789139162657
0.5,Toy and Small,Female,0.75,11,1.5814042900924774,1.4743954235629446,1.6961796603244321,2.0883723989795526,1.9431556897054851
0.5,Standard,Male,0.25,40.6,2.2722208660396097,2.1068263259287785,2.4505995584565947,2.9136975753672782,2.729270688503325
0.5,Standard,Male,0.5,50.6,2.1973069951415316,2.0287489562719565,2.3798696314649814,2.830985447155001,2.639784659978569
0.5,Standard,Male,0.75,60.4125,2.15079061173277,1.974252053226127,2.343115332188023,2.7789502839620877,2.576314537396127
0.5,Standard,Female,0.25,34.2,1.4670373635083513,1.35690533085413,1.586108166127398,1.932905202758247,1.7744719210525501
0.5,Standard,Female,0.5,42.05,1.4164503169550207,1.3104854518763236,1.5309834210897635,1.8613673710022984,1.704313314591149
0.5,Standard,Female,0.75,49.6875,1.3810957807025661,1.272112196529049,1.4994161369404606,1.8101580593391735,1.6443741344384217
0.5,Medium,Male,0.25,20.700000000000003,2.020924362898097,1.7904797115098783,2.2810285167157813,2.6307242306389105,2.355414713045927
0.5,Medium,Male,0.5,26.2,1.8887608080873555,1.6772929077371501,2.1268899270429946,2.4749414936877994,2.2132462126143633
0.5,Medium,Male,0.75,34.775000000000006,1.7897514484715615,1.578851117165174,2.0288234986066414,2.354516139968562,2.0849845553961748
0.5,Medium,Female,0.25,17.75,1.341829217241478,1.1846190874474014,1.51990261453796,1.7519406103457853,1.498835995631734
0.5,Medium,Female,0.5,22.8,1.228414962702969,1.0877846149247958,1.3872262025850235,1.5734844757819277,1.312360864133391
0.5,Medium,Female,0.75,30.75,1.1467620057917443,1.013590054449614,1.2974309407974531,1.4303967839066545,1.1068104701464871
0.5,Large,Male,0.25,49.3,2.6726131030342772,2.470185826018701,2.8916289306148872,3.335711765075586,3.1263112922734813
0.5,Large,Male,0.5,60.5,2.606211198027194,2.4102391492940196,2.818117368441168,3.2678517204106523,3.0627944498090196
0.5,Large,Male,0.75,71.6,2.5678536788382114,2.367461614060628,2.785207784050717,3.228290345606823,3.0170198949400513
0.5,Large,Female,0.25,41.7,1.7189628255768898,1.5852675605088826,1.8639334263338876,2.266195173508077,2.093492047842325
0.5,Large,Female,0.5,49.650000000000006,1.6739646694885502,1.544518940218765,1.8142592115438962,2.208984542213986,2.0390825456081716
0.5,Large,Female,0.75,58.349999999999994,1.6403421633784891,1.512200819365716,1.779341988510382,2.165649926402527,1.9952537282927727
0.5,Giant,Male,0.25,68.9,1.8266611552569674,1.6001576710995196,2.0852263726186258,2.399812389225216,2.1131515010723776
0.5,Giant,Male,0.5,87.1,1.7970364120047866,1.5892605129896284,2.0319764064333183,2.3634958644121307,2.0987752816440715
0.5,Giant,Male,0.75,106.3,1.7692534814714744,1.550433572319862,2.0189564632654546,2.3291425652625835,2.0470373608032486
0.5,Giant,Female,0.25,59.412499999999994,1.1611433935965683,1.0096965953386645,1.3353060579953073,1.4569067653992653,1.0889075754105575
0.5,Giant,Female,0.5,71.825,1.1416046508041753,1.0020724721327994,1.3005657923761516,1.420715747731058,1.0393588101197928
0.5,Giant,Female,0.75,86.35,1.127359575466578,0.9947493850246666,1.277648050382728,1.3934386975302062,1
1,Toy and Small,Male,0.25,7.2,3.537539162207178,3.316313189990876,3.773522766763743,4.158159221718835,3.9574892586457935
1,Toy and Small,Male,0.5,10.6,3.0175090731617122,2.8445093625673192,3.2010304224821353,3.6764361256197535,3.507886756506108
1,Toy and Small,Male,0.75,14.2,2.6425463542595278,2.4845210166051044,2.81062272677093,3.305081618502671,3.141394190475762
1,Toy and Small,Female,0.25,5.8,2.381442886530187,2.2234473154869168,2.5506654384402476,3.03202272700966,2.859996552552367
1,Toy and Small,Female,0.5,8.4,2.090961600195453,1.9668685468534055,2.2228838935303754,2.7112206114900226,2.5676483298992596
1,Toy and Small,Female,0.75,11.6,1.8160787493437278,1.707131096141655,1.9319793490213615,2.38687601022508,2.2512362390322362
1,Standard,Male,0.25,51,2.5822713258375067,2.3940225869563645,2.7853225932676358,3.2431921126826815,3.0454865709832064
1,Standard,Male,0.5,59.2,2.5357505034074586,2.3513412334233075,2.734622488701789,3.194970390698143,2.999670296795906
1,Standard,Male,0.75,67.75,2.5034896420580304,2.3153601132191275,2.7069052248541903,3.1612905791511507,2.9607439043902892
1,Standard,Female,0.25,42,1.6667141564232952,1.5398044343341393,1.8040836987348239,2.1996833948063443,2.032727416395922
1,Standard,Female,0.5,49.4,1.6261216643256093,1.5045443787816923,1.7575232106681322,2.147162309573649,1.9847771265258236
1,Standard,Female,0.75,56.4,1.5985118138289502,1.4781476861649603,1.7286770752794434,2.1109841110298753,1.948368657936565
1,Medium,Male,0.25,23.8,2.276807183368868,2.0202607222753377,2.5659316607421427,2.9187191119107263,2.6299549754186016
1,Medium,Male,0.5,29.4,2.1695727413062365,1.9318820794623863,2.436507864459801,2.8000249530817842,2.5263589190904936
1,Medium,Male,0.75,39.2,2.0626589761988514,1.8267316644473195,2.3290569353440964,2.6788529512746644,2.399898448625915
1,Medium,Female,0.25,20,1.508667458346479,1.3312130061049208,1.7097770900942009,1.990423457957947,1.7359318554751428
1,Medium,Female,0.5,25.1,1.4075931498996224,1.2489286805119264,1.5864144258679473,1.8486377407641483,1.6071527535691184
1,Medium,Female,0.75,33.3,1.3302010409746114,1.180931980429195,1.4983376170123373,1.7343994757889891,1.4923502663540678
1,Large,Male,0.25,61.6,3.0604743405600927,2.844501528461586,3.292845194670186,3.7176073074680662,3.5078790196738208
1,Large,Male,0.5,70.8,3.023512454814087,2.816871890486098,3.24531179259216,3.682204826234724,3.4805316843068064
1,Large,Male,0.75,80,2.9980247529546378,2.780891266225266,3.232112139188053,3.6576773126244326,3.4447345092093906
1,Large,Female,0.25,51.6,1.9590132362114125,1.8070942540498667,2.123703758700352,2.558410371659021,2.3758613454701085
1,Large,Female,0.5,59.2,1.9267459806568128,1.7842737943681704,2.0805944052391157,2.5202657129559514,2.3477511322788662
1,Large,Female,0.75,66.8,1.9044842071396764,1.7668486286092326,2.052841446920932,2.4937590543096064,2.326155201731876
1,Giant,Male,0.25,87.5,2.11345061710981,1.8751998364894371,2.381972003220681,2.73678795304419,2.4586467401462277
1,Giant,Male,0.5,102,2.0887273194897777,1.8507309379014154,2.3573290562322406,2.708673222432827,2.4290890524672624
1,Giant,Male,0.75,118,2.061781944226802,1.799859192405423,2.3618207487989507,2.677846498586903,2.3669700469960926
1,Giant,Female,0.25,74.82499999999999,1.3391401735025832,1.1779754382997443,1.5223546654562858,1.7478970801904936,1.487124039573207
1,Giant,Female,0.5,85.45,1.3272595396589462,1.1750755098550736,1.4991529232303926,1.7299388387609373,1.4819751826976195
1,Giant,Female,0.75,98.6,1.3131710204128482,1.1616648483108354,1.4844368677933046,1.7084381129268271,1.457855408629122
1.5,Toy and Small,Male,0.25,7.4,3.739461764178953,3.5093257605042534,3.9846897210668395,4.3363260377384325,4.132895047571038
1.5,Toy and Small,Male,0.5,10.8,3.1946858307137362,3.013586211398411,3.3866685208342395,3.8445444599594296,3.6726637857286315
1.5,Toy and Small,Male,0.75,14.5,2.795204130603034,2.630039958486002,2.970740465950168,3.4589995733734527,3.2922938960972115
1.5,Toy and Small,Female,0.25,6.05,2.5102040036797018,2.3481898181613223,2.683396415126059,3.1683166680267845,2.9962720987535327
1.5,Toy and Small,Female,0.5,8.600000000000001,2.2112187522351965,2.0828617669292,2.347485775517997,2.8464453259503335,2.701979362470907
1.5,Toy and Small,Female,0.75,11.7,1.931428887013515,1.817899034321508,2.052048807530482,2.5258216067044477,2.389104059945776
1.5,Standard,Male,0.25,51.9,2.750601655986395,2.5478263434394326,2.9695153633201112,3.4144350778665276,3.2075265699916944
1.5,Standard,Male,0.5,60.1,2.7030385517076425,2.5060675294932007,2.9154910336735087,3.366547211059295,3.1639891763400056
1.5,Standard,Male,0.75,68.875,2.6693650930923094,2.4694261302686624,2.8854922659478337,3.3324105204514014,3.12551084473298
1.5,Standard,Female,0.25,42.8,1.7741325587886638,1.637104387755802,1.9226301998180915,2.3351966436643345,2.1614491167164145
1.5,Standard,Female,0.5,49.9,1.7337426464296826,1.6030165008215647,1.8751295214418937,2.2847999461426176,2.116912932882684
1.5,Standard,Female,0.75,57.099999999999994,1.704264948594185,1.575926173717551,1.843055254393731,2.2476036886449187,2.0810991212519214
1.5,Medium,Male,0.25,24.200000000000003,2.4198910703157255,2.1465725572091325,2.7280106477310526,3.073070242622849,2.7742052434744453
1.5,Medium,Male,0.5,30.2,2.304966654968404,2.0519854332213296,2.5891369375735627,2.949447036823865,2.6665900559877196
1.5,Medium,Male,0.75,39.900000000000006,2.1957558015696343,1.9445343085171074,2.479433517325514,2.8292587497770585,2.5413338382883657
1.5,Medium,Female,0.25,20.3,1.602314551086364,1.413387919382883,1.8164948811392734,2.1159897466653637,1.8569733206297585
1.5,Medium,Female,0.5,25.65,1.4948849036264213,1.3265735435352701,1.6845510646434512,1.9715067031408546,1.7288971745922068
1.5,Medium,Female,0.75,33.824999999999996,1.416326916889396,1.2575172775510428,1.5951923455174943,1.8611904587742667,1.6210387872352618
1.5,Large,Male,0.25,62.8,3.2614321290717028,3.0292198580982217,3.5114452006858197,3.90676489996539,3.6876842755457013
1.5,Large,Male,0.5,71.8,3.2247771996648837,3.003344784956847,3.462535516922979,3.8726683159567905,3.6628047559087724
1.5,Large,Male,0.75,81,3.198320198515592,2.9662763692511707,3.448516192985472,3.8479476083202795,3.6269915567440214
1.5,Large,Female,0.25,52.3,2.087884783424819,1.9233202066834385,2.2665299588226078,2.7077122705454553,2.5161969456258055
1.5,Large,Female,0.5,59.900000000000006,2.0545774405075603,1.9012445677382421,2.220276407713462,2.6695708981366293,2.489888462643889
1.5,Large,Female,0.75,68.3,2.029640131496052,1.8827359747416774,2.1880067724018093,2.6408154934481627,2.4677096176990636
1.5,Giant,Male,0.25,89.95,2.2520156046670055,1.9983171572082752,2.5379226042120755,2.8915177984925693,2.6044482532762627
1.5,Giant,Male,0.5,104,2.2264842913390614,1.971339035551421,2.514652330309571,2.863356524280439,2.572897402707836
1.5,Giant,Male,0.75,121.5,2.195088136621456,1.9097730420142907,2.5230285596942683,2.8285153654940403,2.5000706793501912
1.5,Giant,Female,0.25,75.21249999999999,1.4292703543195935,1.256211913680598,1.6261696959644167,1.879680578479455,1.6189358452721374
1.5,Giant,Female,0.5,88.275,1.4138488471093553,1.2521656988361887,1.596408977126887,1.8576351658170638,1.612400257092781
1.5,Giant,Female,0.75,101.54999999999998,1.398699313427361,1.236113143339718,1.5826704698701757,1.8357897450810294,1.5862056245260936
2,Toy and Small,Male,0.25,7.6,3.776233951338932,3.52248428654553,4.048263014177828,4.3682880532316055,4.144689675807754
