age,size,sex,weight,hr,hrLo,hrHi,eVal,eValLo
0.5,Toy and Small,Male,9.8,2.656,2.484,2.840,3.319,3.141
0.5,Toy and Small,Female,8.0,1.812,1.689,1.944,2.382,2.228
0.5,Standard,Male,50.6,2.197,2.029,2.380,2.831,2.640
0.5,Standard,Female,42.1,1.416,1.310,1.531,1.861,1.704
0.5,Medium,Male,26.2,1.889,1.677,2.127,2.475,2.213
0.5,Medium,Female,22.8,1.228,1.088,1.387,1.573,1.312
0.5,Large,Male,60.5,2.606,2.410,2.818,3.268,3.063
0.5,Large,Female,49.7,1.674,1.545,1.814,2.209,2.039
0.5,Giant,Male,87.1,1.797,1.589,2.032,2.363,2.099
0.5,Giant,Female,71.8,1.142,1.002,1.301,1.421,1.039
1,Toy and Small,Male,10.6,3.018,2.845,3.201,3.676,3.508
1,Toy and Small,Female,8.4,2.091,1.967,2.223,2.711,2.568
1,Standard,Male,59.2,2.536,2.351,2.735,3.195,3.000
1,Standard,Female,49.4,1.626,1.505,1.758,2.147,1.985
1,Medium,Male,29.4,2.170,1.932,2.437,2.800,2.526
1,Medium,Female,25.1,1.408,1.249,1.586,1.849,1.607
1,Large,Male,70.8,3.024,2.817,3.245,3.682,3.481
1,Large,Female,59.2,1.927,1.784,2.081,2.520,2.348
1,Giant,Male,102.0,2.089,1.851,2.357,2.709,2.429
1,Giant,Female,85.5,1.327,1.175,1.499,1.730,1.482
1.5,Toy and Small,Male,10.8,3.195,3.014,3.387,3.845,3.673
1.5,Toy and Small,Female,8.6,2.211,2.083,2.347,2.846,2.702
1.5,Standard,Male,60.1,2.703,2.506,2.915,3.367,3.164
1.5,Standard,Female,49.9,1.734,1.603,1.875,2.285,2.117
1.5,Medium,Male,30.2,2.305,2.052,2.589,2.949,2.667
1.5,Medium,Female,25.7,1.495,1.327,1.685,1.972,1.729
1.5,Large,Male,71.8,3.225,3.003,3.463,3.873,3.663
1.5,Large,Female,59.9,2.055,1.901,2.220,2.670,2.490
1.5,Giant,Male,104.0,2.226,1.971,2.515,2.863,2.573
1.5,Giant,Female,88.3,1.414,1.252,1.596,1.858,1.612
2,Toy and Small,Male,11.0,3.231,3.027,3.449,3.879,3.686
2,Toy and Small,Female,8.8,2.234,2.091,2.387,2.872,2.711
2,Standard,Male,61.0,2.753,2.533,2.992,3.416,3.192
2,Standard,Female,50.4,1.766,1.622,1.922,2.325,2.142
2,Medium,Male,31.0,2.340,2.073,2.640,2.987,2.691
2,Medium,Female,26.2,1.517,1.342,1.715,2.002,1.752
2,Large,Male,72.8,3.286,3.035,3.557,3.929,3.693
2,Large,Female,60.6,2.093,1.924,2.276,2.713,2.517
2,Giant,Male,106.0,2.267,1.995,2.576,2.908,2.601
2,Giant,Female,91.1,1.439,1.269,1.631,1.893,1.639
2.5,Toy and Small,Male,11.1,3.247,3.024,3.486,3.893,3.683
2.5,Toy and Small,Female,8.9,2.243,2.088,2.411,2.882,2.708
2.5,Standard,Male,61.4,2.776,2.537,3.037,3.440,3.196
2.5,Standard,Female,50.6,1.781,1.626,1.949,2.343,2.148
2.5,Medium,Male,30.5,2.368,2.090,2.683,3.017,2.710
2.5,Medium,Female,25.7,1.538,1.355,1.745,2.030,1.772
2.5,Large,Male,73.8,3.312,3.039,3.610,3.953,3.697
2.5,Large,Female,61.7,2.108,1.927,2.305,2.730,2.521
2.5,Giant,Male,105.9,2.288,2.004,2.611,2.931,2.611
2.5,Giant,Female,90.9,1.452,1.275,1.653,1.912,1.649
3,Toy and Small,Male,11.2,3.242,3.026,3.473,3.889,3.685
3,Toy and Small,Female,9.0,2.238,2.089,2.399,2.877,2.709
3,Standard,Male,61.7,2.781,2.543,3.041,3.445,3.202
3,Standard,Female,50.8,1.784,1.631,1.952,2.347,2.153
3,Medium,Male,30.0,2.381,2.103,2.695,3.031,2.725
3,Medium,Female,25.2,1.549,1.366,1.756,2.045,1.788
3,Large,Male,74.8,3.317,3.045,3.614,3.958,3.703
3,Large,Female,62.8,2.109,1.931,2.304,2.732,2.526
3,Giant,Male,105.8,2.294,2.010,2.617,2.937,2.618
3,Giant,Female,90.7,1.456,1.279,1.657,1.917,1.655
3.5,Toy and Small,Male,11.3,3.222,3.025,3.432,3.870,3.683
3.5,Toy and Small,Female,9.0,2.234,2.096,2.380,2.871,2.717
3.5,Standard,Male,61.9,2.774,2.544,3.026,3.438,3.204
3.5,Standard,Female,50.9,1.780,1.632,1.942,2.342,2.155
3.5,Medium,Male,30.3,2.371,2.099,2.678,3.021,2.721
3.5,Medium,Female,25.9,1.536,1.358,1.737,2.027,1.776
3.5,Large,Male,74.9,3.310,3.049,3.593,3.951,3.706
3.5,Large,Female,63.9,2.101,1.931,2.287,2.723,2.525
3.5,Giant,Male,107.7,2.285,2.003,2.607,2.928,2.610
3.5,Giant,Female,90.5,1.453,1.278,1.651,1.913,1.654
4,Toy and Small,Male,11.4,3.193,3.002,3.396,3.843,3.662
4,Toy and Small,Female,9.0,2.223,2.089,2.364,2.859,2.709
4,Standard,Male,62.0,2.760,2.531,3.010,3.424,3.190
4,Standard,Female,50.9,1.771,1.624,1.932,2.331,2.144
4,Medium,Male,30.7,2.355,2.085,2.659,3.003,2.705
4,Medium,Female,26.6,1.519,1.344,1.716,2.004,1.755
4,Large,Male,75.0,3.293,3.035,3.573,3.936,3.693
4,Large,Female,65.0,2.088,1.920,2.270,2.708,2.512
4,Giant,Male,109.5,2.270,1.987,2.594,2.912,2.592
4,Giant,Female,90.4,1.446,1.272,1.643,1.903,1.644
4.5,Toy and Small,Male,11.4,3.174,2.972,3.389,3.825,3.633
4.5,Toy and Small,Female,9.0,2.209,2.069,2.359,2.844,2.686
4.5,Standard,Male,62.4,2.741,2.505,3.001,3.405,3.163
4.5,Standard,Female,50.9,1.760,1.608,1.927,2.318,2.123
4.5,Medium,Male,30.3,2.345,2.072,2.654,2.993,2.689
4.5,Medium,Female,26.7,1.508,1.332,1.708,1.990,1.736
4.5,Large,Male,75.5,3.271,3.004,3.563,3.916,3.664
4.5,Large,Female,63.9,2.078,1.904,2.268,2.697,2.494
4.5,Giant,Male,107.9,2.260,1.975,2.585,2.900,2.578
4.5,Giant,Female,93.2,1.434,1.258,1.634,1.886,1.622
5,Toy and Small,Male,11.4,3.154,2.939,3.385,3.806,3.600
5,Toy and Small,Female,9.0,2.195,2.046,2.356,2.829,2.659
5,Standard,Male,62.8,2.723,2.476,2.994,3.387,3.133
5,Standard,Female,51.0,1.749,1.591,1.924,2.304,2.101
5,Medium,Male,30.0,2.335,2.057,2.651,2.982,2.672
5,Medium,Female,26.8,1.497,1.318,1.701,1.975,1.716
5,Large,Male,76.0,3.250,2.971,3.555,3.896,3.631
5,Large,Female,62.8,2.069,1.887,2.268,2.686,2.473
5,Giant,Male,106.2,2.249,1.962,2.578,2.888,2.562
5,Giant,Female,96.0,1.422,1.243,1.626,1.869,1.597
5.5,Toy and Small,Male,11.5,3.122,2.899,3.363,3.776,3.561
5.5,Toy and Small,Female,9.2,2.167,2.012,2.333,2.797,2.620
5.5,Standard,Male,63.0,2.705,2.453,2.984,3.369,3.108
5.5,Standard,Female,50.7,1.740,1.577,1.919,2.292,2.082
5.5,Medium,Male,30.1,2.320,2.039,2.639,2.966,2.652
5.5,Medium,Female,26.9,1.487,1.306,1.693,1.961,1.698
5.5,Large,Male,76.0,3.230,2.943,3.544,3.877,3.604
5.5,Large,Female,62.7,2.057,1.870,2.262,2.672,2.452
5.5,Giant,Male,106.8,2.234,1.943,2.567,2.871,2.540
5.5,Giant,Female,92.0,1.417,1.237,1.624,1.863,1.587
6,Toy and Small,Male,11.6,3.090,2.865,3.333,3.746,3.528
6,Toy and Small,Female,9.3,2.138,1.983,2.306,2.765,2.586
6,Standard,Male,63.1,2.688,2.433,2.969,3.351,3.087
6,Standard,Female,50.4,1.730,1.566,1.911,2.280,2.068
6,Medium,Male,30.1,2.305,2.024,2.624,2.949,2.634
6,Medium,Female,26.9,1.477,1.297,1.683,1.947,1.683
6,Large,Male,76.0,3.209,2.920,3.527,3.858,3.582
6,Large,Female,62.5,2.044,1.856,2.251,2.658,2.435
6,Giant,Male,107.4,2.219,1.927,2.554,2.855,2.521
6,Giant,Female,88.1,1.413,1.231,1.622,1.856,1.577
