ageYears,size,sex,wtPntl,weight,hr,lb,ub,eVal,eValLo
0.5,Toy and Small,Male,0.25,6.7,4.395191914779047,3.3173081338448998,5.823309499244215,4.885984184129034,3.9584052816362867
0.5,Toy and Small,Male,0.5,9.8,4.017242059226269,3.0681072048447495,5.259996696638614,4.574282046738009,3.724893794828623
0.5,Toy and Small,Male,0.75,13.3,3.645893085801342,2.7788317688892934,4.783498066314066,4.254333505082281,3.442679134137287
0.5,Toy and Small,Female,0.25,5.55,2.4319645512942087,1.8207579519643886,3.2483458728660928,3.0858973872551827,2.392601005727176
0.5,Toy and Small,Female,0.5,8,2.2636917751454644,1.7109278091754587,2.9950418862679893,2.904346395237623,2.2560428426607513
0.5,Toy and Small,Female,0.75,11,2.0773152921583784,1.5712362790543222,2.746397139984736,2.695641184659613,2.0748595493928224
0.5,Standard,Male,0.25,40.6,3.600169106062984,2.729419500036471,4.74870850452895,4.213912385584751,3.3931554150693932
0.5,Standard,Male,0.5,50.6,3.4281399513636854,2.5895987185219873,4.538210280256604,4.059669300794513,3.250750900657638
0.5,Standard,Male,0.75,60.4125,3.3751753124971,2.5172814298229036,4.525440920164153,4.011467406450749,3.175713305089154
0.5,Standard,Female,0.25,34.2,2.037950663777626,1.5382875234242588,2.699913276775765,2.6504176583081254,2.0306798854104544
0.5,Standard,Female,0.5,42.05,1.9072031162573244,1.4341286309322856,2.5363301786235626,2.4970048867765806,1.8865868938276198
0.5,Standard,Female,0.75,49.6875,1.839167550536177,1.3713935103855228,2.466496489395192,2.4150494981790587,1.7959116608581425
0.5,Medium,Male,0.25,20.700000000000003,3.2247122591491526,2.147495676505324,4.8422771082030875,3.8726077510919614,2.775244076212609
0.5,Medium,Male,0.5,26.2,2.9182886151154857,1.9500918484114869,4.367183242189329,3.5803242022213215,2.5478960094196834
0.5,Medium,Male,0.75,34.775000000000006,2.608864251711317,1.7246405477036197,3.9464297026529698,3.2705781263158054,2.2733528693850973
0.5,Medium,Female,0.25,17.75,1.8386602499808948,1.2159702243212265,2.780225573983072,2.4144325003287097,1.5526845010964794
0.5,Medium,Female,0.5,22.8,1.655932113078836,1.1013525643184734,2.489766902955895,2.1858078504221883,1.3412015022623451
0.5,Medium,Female,0.75,30.75,1.4621111384899648,0.9625841032638417,2.220864622683743,1.9260214434139837,1
