age,size,sex,weight,hr,hrLo,hrHi,eVal,eValLo
0.5,Toy and Small,Male,9.8,4.017,3.068,5.260,4.574,3.725
0.5,Toy and Small,Female,8.0,2.264,1.711,2.995,2.904,2.256
0.5,Standard,Male,50.6,3.428,2.590,4.538,4.060,3.251
0.5,Standard,Female,42.1,1.907,1.434,2.536,2.497,1.887
0.5,Medium,Male,26.2,2.918,1.950,4.367,3.580,2.548
0.5,Medium,Female,22.8,1.656,1.101,2.490,2.186,1.341
0.5,Large,Male,60.5,3.729,2.832,4.911,4.327,3.495
0.5,Large,Female,49.7,2.032,1.512,2.733,2.644,1.994
0.5,Giant,Male,87.1,2.555,1.727,3.781,3.215,2.276
0.5,Giant,Female,71.8,1.359,0.904,2.044,1.778,1.000
1,Toy and Small,Male,10.6,4.941,3.930,6.213,5.314,4.500
1,Toy and Small,Female,8.4,2.815,2.216,3.576,3.479,2.852
1,Standard,Male,59.2,4.250,3.331,5.421,4.768,3.971
1,Standard,Female,49.4,2.316,1.789,2.999,2.962,2.353
1,Medium,Male,29.4,3.501,2.383,5.144,4.125,3.034
1,Medium,Female,25.1,2.000,1.354,2.954,2.607,1.770
1,Large,Male,70.8,4.697,3.665,6.020,5.126,4.271
1,Large,Female,59.2,2.512,1.902,3.317,3.170,2.491
1,Giant,Male,102.0,3.233,2.234,4.678,3.880,2.872
1,Giant,Female,85.5,1.719,1.172,2.521,2.266,1.476
1.5,Toy and Small,Male,10.8,5.498,4.409,6.857,5.729,4.897
1.5,Toy and Small,Female,8.6,3.132,2.491,3.939,3.786,3.148
1.5,Standard,Male,60.1,4.753,3.750,6.025,5.170,4.345
1.5,Standard,Female,49.9,2.588,2.007,3.337,3.249,2.614
1.5,Medium,Male,30.2,3.876,2.655,5.659,4.454,3.317
1.5,Medium,Female,25.7,2.218,1.511,3.255,2.854,1.994
1.5,Large,Male,71.8,5.258,4.100,6.743,5.553,4.644
1.5,Large,Female,59.9,2.810,2.123,3.720,3.474,2.747
1.5,Giant,Male,104.0,3.621,2.513,5.217,4.232,3.171
1.5,Giant,Female,88.3,1.925,1.319,2.810,2.519,1.718
2,Toy and Small,Male,11.0,5.763,4.583,7.246,5.918,5.036
2,Toy and Small,Female,8.8,3.282,2.593,4.154,3.926,3.255
2,Standard,Male,61.0,5.008,3.892,6.443,5.365,4.468
