"size","sex","reference_age","comparator_age","hr","lo","hi","e_val","e_val_lo"
"Toy and Small","Female",0.5,0.5,1,1,1,1,1
"Toy and Small","Female",0.5,1,1.17797757436282,0.968518346668348,1.43273606584232,1.487127823823,1
"Toy and Small","Female",0.5,1.5,1.25112754994347,1.00058398106029,1.5644065624245,1.61071917581881,1.02052718347042
"Toy and Small","Female",0.5,2,1.26584167846974,0.978138157122794,1.63816853813825,1.63438754698011,1
"Toy and Small","Female",0.5,2.5,1.26639362866967,0.95368303581596,1.68164134466646,1.63526892650531,1
"Toy and Small","Female",0.5,3,1.25776933663178,0.950991826314018,1.66350925465133,1.62144454716461,1
"Toy and Small","Female",0.5,3.5,1.24166081303633,0.95287508669945,1.61796818507475,1.59530774844576,1
"Toy and Small","Female",0.5,4,1.21983575714305,0.939068062862452,1.58454890891408,1.5591775167396,1
"Toy and Small","Female",0.5,4.5,1.19403461294655,0.907515862226554,1.57101238254555,1.51524420498839,1
"Toy and Small","Female",0.5,5,1.16544508785489,0.872101955792172,1.55745809739795,1.46470769054909,1
"Toy and Small","Female",0.5,5.5,1.13465312091312,0.840520427288811,1.53171495064153,1.4075075934102,1
"Toy and Small","Female",0.5,6,1.10219022494272,0.813831984382867,1.49272001502926,1.34294198293723,1
"Toy and Small","Female",1,0.5,0.848912595420934,0.69796525950653,1.0325049633184,1.487127823823,NA
"Toy and Small","Female",1,1,1,1,1,1,1
"Toy and Small","Female",1,1.5,1.06209793562515,0.948929402985975,1.1887628534953,1.25349753412098,1
"Toy and Small","Female",1,2,1.07458894466174,0.850562612495548,1.35762068897106,1.28294045177041,1
"Toy and Small","Female",1,2.5,1.07505750213851,0.804431373875042,1.43672744554568,1.28401214472167,1
"Toy and Small","Female",1,3,1.06773623200095,0.794136101666411,1.43559858157221,1.26700739366676,1
"Toy and Small","Female",1,3.5,1.05406150342714,0.796118794634793,1.39557772093141,1.23350687873989,1
"Toy and Small","Female",1,4,1.03553393858356,0.790550073629859,1.35643594723193,1.18292048911399,1
"Toy and Small","Female",1,4.5,1.01363102229888,0.770698537838751,1.33313844379142,1.1069865246138,1
"Toy and Small","Female",1,5,0.989361014351487,0.745072150230257,1.31374554318814,1.09402553824152,NA
"Toy and Small","Female",1,5.5,0.963221325776814,0.720736448149569,1.28728791892415,1.19064813531224,NA
"Toy and Small","Female",1,6,0.935663164503705,0.699255344410331,1.2519969484786,1.26942158522321,NA
"Toy and Small","Female",1.5,0.5,0.799279018390397,0.639220023757897,0.999416359774548,1.61071917581881,NA
"Toy and Small","Female",1.5,1,0.941532759322618,0.841210672977977,1.05381917438044,1.25349753412098,NA
"Toy and Small","Female",1.5,1.5,1,1,1,1,1
"Toy and Small","Female",1.5,2,1.01176069420495,0.88917444581571,1.15124732515113,1.09871019599216,1
"Toy and Small","Female",1.5,2.5,1.01220185641895,0.835937039010012,1.22563369048862,1.10070883556907,1
"Toy and Small","Female",1.5,3,1.00530864074459,0.816412208359746,1.23791076714325,1.06442366159135,1
"Toy and Small","Female",1.5,3.5,0.992433435817506,0.801554457522974,1.22876757191549,1.07812379935433,NA
"Toy and Small","Female",1.5,4,0.974989126566802,0.77238669063158,1.23073559973721,1.15196988851029,NA
"Toy and Small","Female",1.5,4.5,0.954366813360074,0.732835388697701,1.24286576288523,1.21725828841442,NA
"Toy and Small","Female",1.5,5,0.931515805808575,0.696151065629594,1.24645603420349,1.28048529107309,NA
"Toy and Small","Female",1.5,5.5,0.906904432697029,0.666466146007035,1.23408466427466,1.3438996393501,NA
"Toy and Small","Female",1.5,6,0.880957521071701,0.643112717518766,1.20676536599535,1.40841692284447,NA
"Toy and Small","Female",2,0.5,0.789988208643034,0.610437800945979,1.02235046523644,1.63438754698011,NA
"Toy and Small","Female",2,1,0.930588393792552,0.736582764334493,1.17569240089922,1.28294045177041,NA
"Toy and Small","Female",2,1.5,0.98837601196379,0.868623082245795,1.12463870808008,1.09871019599216,NA
"Toy and Small","Female",2,2,1,1,1,1,1
"Toy and Small","Female",2,2.5,1.00043603414971,0.934982296607179,1.07047188172131,1.01768919235043,1
"Toy and Small","Female",2,3,0.993622945131874,0.894402493185958,1.10385040808162,1.0712573147393,NA
"Toy and Small","Female",2,3.5,0.980897401432827,0.842921703598729,1.14145798836342,1.13024852499077,NA
"Toy and Small","Female",2,4,0.963655864624155,0.778102276862119,1.19345830623894,1.18929703489941,NA
"Toy and Small","Female",2,4.5,0.943273264939419,0.717716642468606,1.23971550846181,1.24870729850473,NA
"Toy and Small","Female",2,5,0.920687877226317,0.671298597467706,1.26272596199232,1.30878407769625,NA
"Toy and Small","Female",2,5.5,0.896362586421381,0.636940530789152,1.26144568840761,1.37029186172395,NA
"Toy and Small","Female",2,6,0.870717281386363,0.6114720393534,1.23987449190083,1.43359744396976,NA
"Toy and Small","Female",2.5,0.5,0.789643896937861,0.59465712065871,1.04856641299529,1.63526892650531,NA
"Toy and Small","Female",2.5,1,0.930182802325268,0.696026238727691,1.24311412070228,1.28401214472167,NA
"Toy and Small","Female",2.5,1.5,0.98794523410368,0.81590446457239,1.19626234193939,1.10070883556907,NA
"Toy and Small","Female",2.5,2,0.999564155893207,0.934167461168631,1.06953896734596,1.01768919235043,NA
"Toy and Small","Female",2.5,2.5,1,1,1,1,1
"Toy and Small","Female",2.5,3,0.993189880426864,0.941093121048142,1.0481705970645,1.07381541400295,NA
"Toy and Small","Female",2.5,3.5,0.980469883081044,0.867001643760066,1.10878819959307,1.13189406255128,NA
"Toy and Small","Female",2.5,4,0.963235860894581,0.787801055354542,1.17773810711102,1.19060301934193,NA
"Toy and Small","Female",2.5,4.5,0.9428621448458,0.720337729099707,1.2341280877989,1.24984184145192,NA
"Toy and Small","Female",2.5,5,0.920286600840833,0.670391099644106,1.26333334099571,1.30981902081239,NA
"Toy and Small","Female",2.5,5.5,0.89597191207054,0.633845666703194,1.26650020563325,1.37126423230879,NA
"Toy and Small","Female",2.5,6,0.870337784390582,0.606743599431053,1.24844804238266,1.43452931261816,NA
"Toy and Small","Female",3,0.5,0.795058339296086,0.601138825770824,1.05153374858744,1.62144454716461,NA
"Toy and Small","Female",3,1,0.936560894000937,0.696573549762666,1.25922999584278,1.26700739366676,NA
"Toy and Small","Female",3,1.5,0.994719392105636,0.807812668361966,1.22487144332285,1.06442366159135,NA
