"size","sex","age","wt_pctl","weight","hr","lo","hi","e_val","e_val_lo"
"Toy and Small","Female",0.5,25,5.35,2.21146506069384,1.64963981316987,2.96463365858763,2.84671862643118,2.17768551797587
"Medium","Female",0.5,25,16.175,1.70841084009444,1.12161557575119,2.60219959641468,2.25285706197447,1.38219475611947
"Standard","Female",0.5,25,29.4,1.93109498612202,1.44830186677666,2.57482775584978,2.52542568728822,1.90663258285845
"Large","Female",0.5,25,35.1,1.97619879630188,1.44549955667381,2.70173841595047,2.5785967671206,1.9026810821319
"Giant","Female",0.5,25,48.4,1.23767556398047,0.782162191478717,1.95846950717262,1.58877453758474,1
"Toy and Small","Male",0.5,25,6.2,4.9962303689608,3.72843056794174,6.69512746579225,5.35647511391867,4.32670942495986
"Medium","Male",0.5,25,17.9,3.80114248384272,2.5013103846548,5.77644592654903,4.38985624312232,3.15900827815194
"Standard","Male",0.5,25,34.2,4.22337797749299,3.16799590057128,5.63034868118241,4.7459213386495,3.81949812635611
"Large","Male",0.5,25,41.1,4.3561156387865,3.21685352137459,5.89885219590968,4.85436037508643,3.86527440661289
"Giant","Male",0.5,25,55.775,2.81665322825149,1.80066940814015,4.40588115306173,3.48031476929525,2.36796669067229
"Toy and Small","Female",1,25,5.8,2.75504117363035,2.12197505696334,3.57697506551306,3.41888553087503,2.74644475396723
"Medium","Female",1,25,18.6,2.04034373839157,1.35772031201196,3.06617094401766,2.6531790866903,1.77568336533479
"Standard","Female",1,25,37.6,2.22987991428053,1.69047627276576,2.94139853496822,2.86711071386579,2.23007889302037
"Large","Female",1,25,43,2.34680941424379,1.7035207971899,3.23301860233724,2.99478292661216,2.24665998266398
"Giant","Female",1,25,63.2,1.52931626567689,0.988086412550462,2.36700779482125,2.01854283149747,1
"Toy and Small","Male",1,25,7,6.16202099015134,4.72677793352852,8.03306252526249,6.19608156719874,5.14911759209342
"Medium","Male",1,25,21.4,4.46002724547882,2.9743143557587,6.68787513730683,4.93816114638806,3.63477461320524
"Standard","Male",1,25,46,4.89477377992463,3.74528854146066,6.39705328212009,5.27904910491334,4.34140030812154
"Large","Male",1,25,54,5.22385217613866,3.90881206465532,6.98131071711041,5.52744830123189,4.48233939143078
"Giant","Male",1,25,78.8,3.56569923903408,2.38999677207693,5.31976076779363,4.1832831960413,3.04118139723582
"Toy and Small","Female",1.5,25,6,3.03326807653574,2.34947353468354,3.91607527742173,3.69156795335491,2.99765659818482
"Medium","Female",1.5,25,19.4,2.22108772677158,1.48504869496448,3.32193193848997,2.85738450755529,1.95793132726077
"Standard","Female",1.5,25,39.8,2.42699819969712,1.8393698978167,3.20235764884745,3.08062460400903,2.41529557539715
"Large","Female",1.5,25,48,2.53870182188259,1.84650957861929,3.49037287163666,3.19804163958877,2.42396910819007
"Giant","Female",1.5,25,69.8,1.6974402176944,1.11229661815063,2.59040910997019,2.23893996347673,1.36361610403666
"Toy and Small","Male",1.5,25,7.2,6.7844319417696,5.25256867838966,8.76304901292887,6.61168997867763,5.54875740380998
"Medium","Male",1.5,25,22.85,4.80603013539768,3.23478685090056,7.14047840769482,5.21068574053642,3.88199686271059
"Standard","Male",1.5,25,48.85,5.36033242277004,4.13385617681771,6.95069263505893,5.62821838880956,4.67187619296504
"Large","Male",1.5,25,58.45,5.75405898952765,4.33718292693483,7.63380180470341,5.91203778633689,4.83899004120577
"Giant","Male",1.5,25,84.4,3.96001940052487,2.68537702406322,5.83968415310466,4.52590699235741,3.34866713760696
"Toy and Small","Female",2,25,6.2,3.14021588787503,2.41456576339867,4.08394584729918,3.79332621071114,3.06740308092828
"Medium","Female",2,25,20.2,2.27471812023092,1.51895637598493,3.40651160778181,2.91643239836096,2.00446737245789
"Standard","Female",2,25,42,2.48993125463883,1.86892600538835,3.31728363506775,3.14707616972827,2.45108744287733
"Large","Female",2,25,53,2.60642515117386,1.89493036632955,3.58506686545452,3.26807163616428,2.48233473599191
"Giant","Female",2,25,76.4,1.77352864687716,1.1721370114098,2.68347798139295,2.33444778913567,1.47673433817609
"Toy and Small","Male",2,25,7.4,7.02379330050876,5.43290860038219,9.08052683323281,6.76629080474815,5.68129142518853
"Medium","Male",2,25,24.3,4.87773080474998,3.29370424040686,7.22355623547665,5.26596686887654,3.93663964092492
"Standard","Male",2,25,51.7,5.53576643497109,4.2501529638205,7.21026049730825,5.75591310859617,4.76792330070086
"Large","Male",2,25,62.9,5.98330561563458,4.51541979683412,7.92837603165594,6.07285005992783,4.98245356910873
"Giant","Male",2,25,90,4.13538029705328,2.8128703151097,6.07968668494749,4.67314310408336,3.47656086635987
"Toy and Small","Female",2.5,25,6.2,3.22234473478977,2.44552898725295,4.24591392862249,3.87039936797795,3.10027340077742
"Medium","Female",2.5,25,20.4,2.32476365715341,1.53801331645111,3.51396571395882,2.97094434717726,2.03030961677253
"Standard","Female",2.5,25,42.9,2.54130689928634,1.87579204410893,3.44294069091664,3.20075121239949,2.45935960678153
"Large","Female",2.5,25,53.05,2.67432340504371,1.91491310216305,3.73489829208742,3.3374493608294,2.50619617246842
"Giant","Female",2.5,25,77.2,1.82067174595955,1.18964373047183,2.7864187585141,2.39249560385806,1.50761923179125
"Toy and Small","Male",2.5,25,7.5,7.18685002624844,5.51176227184265,9.37101615642064,6.87005199525005,5.73856019565756
"Medium","Male",2.5,25,24.35,5.00102920941473,3.35091437172538,7.4637219513734,5.36011834299588,3.98927219383077
"Standard","Male",2.5,25,52.3,5.67263505715213,4.28816571697838,7.50409163624997,5.85415264772425,4.79904756032175
"Large","Male",2.5,25,63.75,6.14023726365034,4.57670825866643,8.23791063861825,6.1811580735878,5.03115936760639
"Giant","Male",2.5,25,91,4.24574724868607,2.85719682273055,6.3091102287094,4.76430747593124,3.52040395296028
"Toy and Small","Female",3,25,6.2,3.27523046661018,2.50248622804869,4.28659086678611,3.91955470126347,3.16023983376748
"Medium","Female",3,25,20.6,2.35343244417749,1.55929735484502,3.5520128679098,3.00192409355513,2.05892147475244
"Standard","Female",3,25,43.8,2.57006701287982,1.89839597276832,3.47938182836586,3.23058049254011,2.48648226994626
"Large","Female",3,25,53.1,2.71794257456161,1.95085385056291,3.78665569257433,3.38159413590603,2.54879501999758
"Giant","Female",3,25,78,1.85132415799315,1.21013848188464,2.8322387803347,2.42980805674322,1.54283160340519
"Toy and Small","Male",3,25,7.6,7.28389248406168,5.64186021230416,9.4038291845062,6.93122524860335,5.83216694777165
"Medium","Male",3,25,24.4,5.07877706891658,3.41097989184733,7.56204297111331,5.41890863196809,4.04409002445034
"Standard","Male",3,25,52.9,5.75832722725746,4.36222974314714,7.60123478325843,5.91506083205794,4.85931728012864
"Large","Male",3,25,64.6,6.24197216311089,4.6807646454019,8.32389992590749,6.25062695515159,5.11314355073889
"Giant","Male",3,25,92,4.31767739778136,2.90847400280195,6.40966296874321,4.823121377694,3.57073664676108
