size,focal_age,comparator_age,hr,lower_95,upper_95
Toy and Small,Spayed/neutered at 0.5 years,0.5,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 0.5 years,1,0.859,0.657,1.122
Toy and Small,Spayed/neutered at 0.5 years,1.5,0.878,0.645,1.195
Toy and Small,Spayed/neutered at 0.5 years,2,0.945,0.696,1.283
Toy and Small,Spayed/neutered at 0.5 years,2.5,0.988,0.721,1.355
Toy and Small,Spayed/neutered at 0.5 years,3,1.006,0.734,1.380
Toy and Small,Spayed/neutered at 0.5 years,3.5,1.005,0.737,1.370
Toy and Small,Spayed/neutered at 0.5 years,4,0.992,0.730,1.347
Toy and Small,Spayed/neutered at 0.5 years,5,0.957,0.700,1.309
Toy and Small,Spayed/neutered at 0.5 years,6,0.924,0.671,1.271
Toy and Small,Spayed/neutered at 1 years,0.5,1.164,0.891,1.521
Toy and Small,Spayed/neutered at 1 years,1,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 1 years,1.5,1.022,0.927,1.128
Toy and Small,Spayed/neutered at 1 years,2,1.100,0.905,1.337
Toy and Small,Spayed/neutered at 1 years,2.5,1.151,0.895,1.479
Toy and Small,Spayed/neutered at 1 years,3,1.172,0.898,1.528
Toy and Small,Spayed/neutered at 1 years,3.5,1.170,0.905,1.514
Toy and Small,Spayed/neutered at 1 years,4,1.155,0.906,1.472
Toy and Small,Spayed/neutered at 1 years,5,1.115,0.884,1.405
Toy and Small,Spayed/neutered at 1 years,6,1.076,0.855,1.354
Toy and Small,Spayed/neutered at 1.5 years,0.5,1.139,0.837,1.550
Toy and Small,Spayed/neutered at 1.5 years,1,0.978,0.886,1.079
Toy and Small,Spayed/neutered at 1.5 years,1.5,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 1.5 years,2,1.076,0.960,1.205
Toy and Small,Spayed/neutered at 1.5 years,2.5,1.125,0.945,1.341
Toy and Small,Spayed/neutered at 1.5 years,3,1.146,0.943,1.393
Toy and Small,Spayed/neutered at 1.5 years,3.5,1.144,0.942,1.391
Toy and Small,Spayed/neutered at 1.5 years,4,1.129,0.931,1.369
Toy and Small,Spayed/neutered at 1.5 years,5,1.090,0.888,1.339
Toy and Small,Spayed/neutered at 1.5 years,6,1.052,0.848,1.304
Toy and Small,Spayed/neutered at 2 years,0.5,1.059,0.779,1.438
Toy and Small,Spayed/neutered at 2 years,1,0.909,0.748,1.105
Toy and Small,Spayed/neutered at 2 years,1.5,0.929,0.830,1.041
Toy and Small,Spayed/neutered at 2 years,2,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 2 years,2.5,1.046,0.982,1.115
Toy and Small,Spayed/neutered at 2 years,3,1.065,0.972,1.168
Toy and Small,Spayed/neutered at 2 years,3.5,1.064,0.952,1.188
Toy and Small,Spayed/neutered at 2 years,4,1.050,0.916,1.203
Toy and Small,Spayed/neutered at 2 years,5,1.013,0.837,1.227
Toy and Small,Spayed/neutered at 2 years,6,0.978,0.787,1.214
Toy and Small,Spayed/neutered at 2.5 years,0.5,1.012,0.738,1.387
Toy and Small,Spayed/neutered at 2.5 years,1,0.869,0.676,1.117
