Breed Size,Sex,Reference Age,Comparison Age,HR,Lower 95%,Upper 95%,E-value,E-value Lower 95%
Toy and Small,Female,0.5,0.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,0.5,1,1.198,1.133,1.268,1.523,1.404
Toy and Small,Female,0.5,1.5,1.344,1.260,1.434,1.756,1.625
Toy and Small,Female,0.5,2,1.447,1.342,1.560,1.905,1.753
Toy and Small,Female,0.5,2.5,1.521,1.401,1.652,2.007,1.839
Toy and Small,Female,0.5,3,1.571,1.449,1.703,2.074,1.907
Toy and Small,Female,0.5,3.5,1.600,1.484,1.726,2.113,1.956
Toy and Small,Female,0.5,4,1.616,1.501,1.739,2.133,1.980
Toy and Small,Female,0.5,4.5,1.624,1.504,1.753,2.144,1.984
Toy and Small,Female,0.5,5,1.628,1.501,1.766,2.150,1.981
Toy and Small,Female,0.5,5.5,1.630,1.498,1.773,2.152,1.976
Toy and Small,Female,0.5,6,1.629,1.495,1.774,2.151,1.972
Toy and Small,Female,1,0.5,0.834,0.789,0.883,1.523,
Toy and Small,Female,1,1,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,1,1.5,1.122,1.086,1.159,1.383,1.308
Toy and Small,Female,1,2,1.207,1.128,1.292,1.538,1.395
Toy and Small,Female,1,2.5,1.269,1.167,1.381,1.640,1.467
Toy and Small,Female,1,3,1.311,1.203,1.428,1.705,1.531
Toy and Small,Female,1,3.5,1.335,1.232,1.448,1.742,1.579
Toy and Small,Female,1,4,1.348,1.248,1.456,1.761,1.606
Toy and Small,Female,1,4.5,1.355,1.254,1.464,1.771,1.615
Toy and Small,Female,1,5,1.359,1.254,1.472,1.777,1.615
Toy and Small,Female,1,5.5,1.360,1.253,1.477,1.779,1.613
Toy and Small,Female,1,6,1.359,1.251,1.477,1.778,1.610
Toy and Small,Female,1.5,0.5,0.744,0.697,0.794,1.756,
Toy and Small,Female,1.5,1,0.891,0.863,0.921,1.383,
Toy and Small,Female,1.5,1.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,1.5,2,1.076,1.037,1.117,1.287,1.186
Toy and Small,Female,1.5,2.5,1.131,1.070,1.196,1.401,1.273
Toy and Small,Female,1.5,3,1.168,1.100,1.241,1.470,1.339
Toy and Small,Female,1.5,3.5,1.190,1.120,1.265,1.509,1.379
Toy and Small,Female,1.5,4,1.202,1.125,1.284,1.528,1.389
Toy and Small,Female,1.5,4.5,1.208,1.121,1.301,1.539,1.381
Toy and Small,Female,1.5,5,1.211,1.115,1.315,1.544,1.369
Toy and Small,Female,1.5,5.5,1.212,1.110,1.324,1.546,1.359
Toy and Small,Female,1.5,6,1.211,1.107,1.326,1.545,1.352
Toy and Small,Female,2,0.5,0.691,0.641,0.745,1.905,
Toy and Small,Female,2,1,0.828,0.774,0.886,1.538,
Toy and Small,Female,2,1.5,0.929,0.895,0.965,1.287,
Toy and Small,Female,2,2,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,2,2.5,1.051,1.031,1.072,1.226,1.169
Toy and Small,Female,2,3,1.086,1.054,1.118,1.307,1.232
Toy and Small,Female,2,3.5,1.106,1.060,1.154,1.351,1.248
Toy and Small,Female,2,4,1.117,1.051,1.186,1.372,1.227
Toy and Small,Female,2,4.5,1.122,1.039,1.212,1.383,1.192
Toy and Small,Female,2,5,1.125,1.028,1.232,1.389,1.161
Toy and Small,Female,2,5.5,1.126,1.021,1.243,1.392,1.136
Toy and Small,Female,2,6,1.126,1.016,1.247,1.390,1.117
Toy and Small,Female,2.5,0.5,0.657,0.605,0.714,2.007,
Toy and Small,Female,2.5,1,0.788,0.724,0.857,1.640,
Toy and Small,Female,2.5,1.5,0.884,0.836,0.934,1.401,
Toy and Small,Female,2.5,2,0.951,0.933,0.970,1.226,
Toy and Small,Female,2.5,2.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,2.5,3,1.033,1.017,1.048,1.174,1.121
Toy and Small,Female,2.5,3.5,1.052,1.016,1.089,1.228,1.118
Toy and Small,Female,2.5,4,1.062,1.003,1.124,1.254,1.051
Toy and Small,Female,2.5,4.5,1.067,0.989,1.153,1.266,1.000
Toy and Small,Female,2.5,5,1.070,0.977,1.172,1.273,1.000
Toy and Small,Female,2.5,5.5,1.071,0.969,1.184,1.276,1.000
Toy and Small,Female,2.5,6,1.071,0.964,1.189,1.274,1.000
Toy and Small,Female,3,0.5,0.637,0.587,0.690,2.074,
Toy and Small,Female,3,1,0.763,0.700,0.831,1.705,
Toy and Small,Female,3,1.5,0.856,0.806,0.909,1.470,
Toy and Small,Female,3,2,0.921,0.894,0.949,1.307,
Toy and Small,Female,3,2.5,0.968,0.954,0.983,1.174,
Toy and Small,Female,3,3,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,3,3.5,1.019,0.998,1.040,1.128,1.000
Toy and Small,Female,3,4,1.029,0.984,1.075,1.162,1.000
Toy and Small,Female,3,4.5,1.034,0.969,1.103,1.178,1.000
Toy and Small,Female,3,5,1.037,0.957,1.123,1.186,1.000
Toy and Small,Female,3,5.5,1.038,0.949,1.134,1.189,1.000
Toy and Small,Female,3,6,1.037,0.943,1.140,1.187,1.000
Toy and Small,Female,3.5,0.5,0.625,0.579,0.674,2.113,
Toy and Small,Female,3.5,1,0.749,0.691,0.812,1.742,
Toy and Small,Female,3.5,1.5,0.840,0.790,0.893,1.509,
Toy and Small,Female,3.5,2,0.904,0.867,0.943,1.351,
Toy and Small,Female,3.5,2.5,0.951,0.918,0.984,1.228,
Toy and Small,Female,3.5,3,0.982,0.961,1.002,1.128,
Toy and Small,Female,3.5,3.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,3.5,4,1.010,0.986,1.034,1.089,1.000
Toy and Small,Female,3.5,4.5,1.015,0.971,1.061,1.111,1.000
Toy and Small,Female,3.5,5,1.017,0.959,1.080,1.123,1.000
Toy and Small,Female,3.5,5.5,1.018,0.950,1.092,1.127,1.000
Toy and Small,Female,3.5,6,1.018,0.944,1.098,1.124,1.000
Toy and Small,Female,4,0.5,0.619,0.575,0.666,2.133,
Toy and Small,Female,4,1,0.742,0.687,0.801,1.761,
Toy and Small,Female,4,1.5,0.832,0.779,0.889,1.528,
Toy and Small,Female,4,2,0.896,0.843,0.951,1.372,
Toy and Small,Female,4,2.5,0.941,0.889,0.997,1.254,
Toy and Small,Female,4,3,0.972,0.930,1.016,1.162,
Toy and Small,Female,4,3.5,0.990,0.967,1.014,1.089,
Toy and Small,Female,4,4,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,4,4.5,1.005,0.984,1.026,1.062,1.000
Toy and Small,Female,4,5,1.008,0.972,1.045,1.079,1.000
Toy and Small,Female,4,5.5,1.009,0.963,1.057,1.084,1.000
Toy and Small,Female,4,6,1.008,0.956,1.064,1.081,1.000
Toy and Small,Female,4.5,0.5,0.616,0.570,0.665,2.144,
Toy and Small,Female,4.5,1,0.738,0.683,0.798,1.771,
Toy and Small,Female,4.5,1.5,0.828,0.768,0.892,1.539,
Toy and Small,Female,4.5,2,0.891,0.825,0.963,1.383,
Toy and Small,Female,4.5,2.5,0.937,0.868,1.012,1.266,
Toy and Small,Female,4.5,3,0.967,0.907,1.032,1.178,
Toy and Small,Female,4.5,3.5,0.986,0.943,1.030,1.111,
Toy and Small,Female,4.5,4,0.995,0.975,1.016,1.062,
Toy and Small,Female,4.5,4.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,4.5,5,1.003,0.987,1.018,1.046,1.000
Toy and Small,Female,4.5,5.5,1.004,0.978,1.031,1.054,1.000
Toy and Small,Female,4.5,6,1.003,0.969,1.038,1.049,1.000
Toy and Small,Female,5,0.5,0.614,0.566,0.666,2.150,
Toy and Small,Female,5,1,0.736,0.679,0.798,1.777,
Toy and Small,Female,5,1.5,0.826,0.760,0.897,1.544,
Toy and Small,Female,5,2,0.889,0.812,0.973,1.389,
Toy and Small,Female,5,2.5,0.934,0.853,1.023,1.273,
Toy and Small,Female,5,3,0.965,0.891,1.045,1.186,
Toy and Small,Female,5,3.5,0.983,0.926,1.043,1.123,
Toy and Small,Female,5,4,0.992,0.957,1.029,1.079,
Toy and Small,Female,5,4.5,0.997,0.982,1.013,1.046,
Toy and Small,Female,5,5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,5,5.5,1.001,0.990,1.012,1.027,1.000
Toy and Small,Female,5,6,1.000,0.980,1.021,1.015,1.000
Toy and Small,Female,5.5,0.5,0.614,0.564,0.667,2.152,
Toy and Small,Female,5.5,1,0.735,0.677,0.798,1.779,
Toy and Small,Female,5.5,1.5,0.825,0.755,0.901,1.546,
Toy and Small,Female,5.5,2,0.888,0.805,0.979,1.392,
Toy and Small,Female,5.5,2.5,0.933,0.844,1.032,1.276,
Toy and Small,Female,5.5,3,0.964,0.881,1.054,1.189,
Toy and Small,Female,5.5,3.5,0.982,0.916,1.053,1.127,
Toy and Small,Female,5.5,4,0.991,0.946,1.039,1.084,
Toy and Small,Female,5.5,4.5,0.996,0.970,1.023,1.054,
Toy and Small,Female,5.5,5,0.999,0.988,1.010,1.027,
Toy and Small,Female,5.5,5.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,5.5,6,0.999,0.990,1.009,1.022,
Toy and Small,Female,6,0.5,0.614,0.564,0.669,2.151,
Toy and Small,Female,6,1,0.736,0.677,0.799,1.778,
Toy and Small,Female,6,1.5,0.825,0.754,0.904,1.545,
Toy and Small,Female,6,2,0.888,0.802,0.984,1.390,
Toy and Small,Female,6,2.5,0.934,0.841,1.037,1.274,
Toy and Small,Female,6,3,0.964,0.877,1.060,1.187,
Toy and Small,Female,6,3.5,0.982,0.911,1.060,1.124,
Toy and Small,Female,6,4,0.992,0.940,1.047,1.081,
Toy and Small,Female,6,4.5,0.997,0.963,1.032,1.049,
Toy and Small,Female,6,5,1.000,0.979,1.020,1.015,
Toy and Small,Female,6,5.5,1.001,0.991,1.010,1.022,1.000
Toy and Small,Female,6,6,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,0.5,0.5,1.000,1.000,1.000,1.000,1.000
