size,ageYears1,ageYears2,hr,lo,hi
Toy and Small,Spayed/neutered at 0.5 years,0.5,1,1,1
Toy and Small,Spayed/neutered at 0.5 years,1,0.9809090548003528,0.918271082922624,1.0478197470042707
Toy and Small,Spayed/neutered at 0.5 years,1.5,1.0523412471294,0.9747443712561145,1.1361154093998713
Toy and Small,Spayed/neutered at 0.5 years,2,1.1540697898191643,1.0703366562371444,1.2443534209652993
Toy and Small,Spayed/neutered at 0.5 years,2.5,1.2393108690976655,1.1474612341267378,1.3385126961892388
Toy and Small,Spayed/neutered at 0.5 years,3,1.3042166885883741,1.207353893269708,1.4088505286431752
Toy and Small,Spayed/neutered at 0.5 years,3.5,1.3510559109318059,1.2523861800118141,1.457499374870579
Toy and Small,Spayed/neutered at 0.5 years,4,1.3838331522749436,1.2842435047347556,1.4911457105097254
Toy and Small,Spayed/neutered at 0.5 years,5,1.4256557407280064,1.3222840515774268,1.537108678461367
Toy and Small,Spayed/neutered at 0.5 years,6,1.4465472609918537,1.3403506705328694,1.5611578553925303
Toy and Small,Spayed/neutered at 1 years,0.5,1.0194625027735449,0.9543626209173973,1.0890030390778
Toy and Small,Spayed/neutered at 1 years,1,1,1,1
Toy and Small,Spayed/neutered at 1 years,1.5,1.0728224415703715,1.0482973283520365,1.0979213244264845
Toy and Small,Spayed/neutered at 1 years,2,1.1765308763043838,1.1245277896054335,1.2309388133335935
Toy and Small,Spayed/neutered at 1 years,2.5,1.2634309603247649,1.1917995364753415,1.3393676894924555
Toy and Small,Spayed/neutered at 1 years,3,1.32960000950733,1.249288469561788,1.41507444305637
Toy and Small,Spayed/neutered at 1 years,3.5,1.3773508403455303,1.2963304871664805,1.4634349467065377
Toy and Small,Spayed/neutered at 1 years,4,1.4107660088392182,1.332528077559208,1.4935975948376996
Toy and Small,Spayed/neutered at 1 years,5,1.4534025695360482,1.3781056150062783,1.5328136001567367
Toy and Small,Spayed/neutered at 1 years,6,1.4747006910710054,1.3998000107793789,1.5536091666654945
Toy and Small,Spayed/neutered at 1.5 years,0.5,0.9502620967559928,0.8801922689599189,1.0259100021386527
Toy and Small,Spayed/neutered at 1.5 years,1,0.9321206951415224,0.9108120752845063,0.9539278341689932
Toy and Small,Spayed/neutered at 1.5 years,1.5,1,1,1
Toy and Small,Spayed/neutered at 1.5 years,2,1.096668778276307,1.0681149953402902,1.1259858858763478
Toy and Small,Spayed/neutered at 1.5 years,2.5,1.1776701450012403,1.1303367593260492,1.226985638557991
Toy and Small,Spayed/neutered at 1.5 years,3,1.2393476851221474,1.183528924099365,1.2977990257284744
Toy and Small,Spayed/neutered at 1.5 years,3.5,1.2838572227566336,1.2262508552397244,1.3441698012941616
Toy and Small,Spayed/neutered at 1.5 years,4,1.3150041928412421,1.2577112495254346,1.3749070208623242
