size,sex,age,wt_pctl,weight,hr,lo,hi,e_val,e_val_lo
Toy and Small,Female,0.5,25,5.35,1.843,1.712,1.984,2.419,2.257
Medium,Female,0.5,25,16.175,1.420,1.255,1.606,1.866,1.617
Standard,Female,0.5,25,29.4,1.493,1.378,1.616,1.968,1.806
Large,Female,0.5,25,35.1,1.653,1.517,1.800,2.182,2.002
Giant,Female,0.5,25,48.4,1.026,0.891,1.183,1.155,1.000
Toy and Small,Male,0.5,25,6.2,3.150,2.932,3.383,3.802,3.594
Medium,Male,0.5,25,17.9,2.388,2.115,2.696,3.039,2.738
Standard,Male,0.5,25,34.2,2.470,2.284,2.671,3.126,2.927
Large,Male,0.5,25,41.1,2.762,2.545,2.998,3.426,3.205
Giant,Male,0.5,25,55.775,1.780,1.553,2.040,2.343,2.051
Toy and Small,Female,1,25,5.8,2.138,1.999,2.288,2.765,2.605
Medium,Female,1,25,18.6,1.575,1.394,1.779,2.079,1.829
Standard,Female,1,25,37.6,1.604,1.475,1.743,2.118,1.944
Large,Female,1,25,43,1.831,1.676,2.002,2.406,2.211
Giant,Female,1,25,63.2,1.197,1.044,1.372,1.520,1.208
Toy and Small,Male,1,25,7,3.615,3.385,3.862,4.227,4.020
Medium,Male,1,25,21.4,2.599,2.306,2.930,3.261,2.950
Standard,Male,1,25,46,2.674,2.472,2.892,3.337,3.128
Large,Male,1,25,54,3.110,2.875,3.364,3.765,3.538
Giant,Male,1,25,78.8,2.150,1.900,2.433,2.778,2.489
Toy and Small,Female,1.5,25,6,2.252,2.107,2.407,2.891,2.729
Medium,Female,1.5,25,19.4,1.638,1.450,1.851,2.163,1.910
Standard,Female,1.5,25,39.8,1.670,1.535,1.817,2.204,2.027
Large,Female,1.5,25,48,1.900,1.741,2.073,2.488,2.294
Giant,Female,1.5,25,69.8,1.280,1.121,1.461,1.657,1.382
Toy and Small,Male,1.5,25,7.2,3.807,3.567,4.063,4.395,4.185
Medium,Male,1.5,25,22.85,2.676,2.374,3.016,3.339,3.024
Standard,Male,1.5,25,48.85,2.806,2.595,3.035,3.470,3.256
Large,Male,1.5,25,58.45,3.290,3.046,3.554,3.933,3.704
Giant,Male,1.5,25,84.4,2.299,2.035,2.596,2.943,2.647
Toy and Small,Female,2,25,6.2,2.266,2.108,2.435,2.907,2.731
Medium,Female,2,25,20.2,1.630,1.438,1.847,2.152,1.892
Standard,Female,2,25,42,1.667,1.526,1.822,2.200,2.014
Large,Female,2,25,53,1.903,1.740,2.081,2.492,2.293
Giant,Female,2,25,76.4,1.310,1.148,1.493,1.703,1.434
Toy and Small,Male,2,25,7.4,3.831,3.569,4.112,4.416,4.187
Medium,Male,2,25,24.3,2.636,2.331,2.981,3.299,2.978
Standard,Male,2,25,51.7,2.823,2.597,3.070,3.487,3.258
Large,Male,2,25,62.9,3.341,3.080,3.624,3.980,3.737
Giant,Male,2,25,90,2.348,2.073,2.659,2.996,2.691
Toy and Small,Female,2.5,25,6.2,2.281,2.111,2.464,2.923,2.734
Medium,Female,2.5,25,20.4,1.634,1.436,1.858,2.157,1.890
Standard,Female,2.5,25,42.9,1.670,1.520,1.833,2.203,2.006
Large,Female,2.5,25,53.05,1.916,1.743,2.106,2.507,2.296
Giant,Female,2.5,25,77.2,1.320,1.154,1.510,1.719,1.443
Toy and Small,Male,2.5,25,7.5,3.845,3.564,4.148,4.427,4.181
Medium,Male,2.5,25,24.35,2.652,2.336,3.010,3.314,2.983
Standard,Male,2.5,25,52.3,2.840,2.597,3.105,3.503,3.258
Large,Male,2.5,25,63.75,3.366,3.086,3.672,4.003,3.742
Giant,Male,2.5,25,91,2.367,2.082,2.692,3.017,2.701
Toy and Small,Female,3,25,6.2,2.291,2.125,2.469,2.934,2.750
Medium,Female,3,25,20.6,1.633,1.438,1.856,2.157,1.892
Standard,Female,3,25,43.8,1.669,1.521,1.831,2.202,2.008
Large,Female,3,25,53.1,1.924,1.752,2.112,2.517,2.308
Giant,Female,3,25,78,1.327,1.161,1.517,1.730,1.456
Toy and Small,Male,3,25,7.6,3.849,3.577,4.142,4.431,4.193
Medium,Male,3,25,24.4,2.660,2.346,3.017,3.323,2.994
Standard,Male,3,25,52.9,2.849,2.608,3.113,3.512,3.270
Large,Male,3,25,64.6,3.384,3.106,3.687,4.020,3.761
Giant,Male,3,25,92,2.381,2.095,2.707,3.032,2.715
Toy and Small,Female,3.5,25,6.35,2.285,2.131,2.450,2.927,2.756
Medium,Female,3.5,25,20.8,1.630,1.438,1.847,2.152,1.892
Standard,Female,3.5,25,43,1.679,1.535,1.838,2.216,2.026
Large,Female,3.5,25,53.6,1.927,1.761,2.108,2.520,2.319
Giant,Female,3.5,25,79.175,1.332,1.168,1.520,1.738,1.469
Toy and Small,Male,3.5,25,7.7,3.845,3.592,4.116,4.428,4.207
Medium,Male,3.5,25,24.8,2.647,2.340,2.995,3.310,2.988
Standard,Male,3.5,25,53,2.855,2.621,3.110,3.518,3.283
Large,Male,3.5,25,64.575,3.391,3.123,3.682,4.026,3.777
Giant,Male,3.5,25,91.325,2.384,2.100,2.705,3.034,2.722
Toy and Small,Female,4,25,6.5,2.275,2.125,2.435,2.916,2.750
Medium,Female,4,25,21,1.624,1.433,1.839,2.144,1.885
Standard,Female,4,25,42.2,1.687,1.542,1.847,2.226,2.035
Large,Female,4,25,54.1,1.926,1.761,2.107,2.520,2.319
Giant,Female,4,25,80.35,1.335,1.171,1.523,1.742,1.474
Toy and Small,Male,4,25,7.8,3.834,3.588,4.098,4.419,4.203
Medium,Male,4,25,25.2,2.630,2.325,2.973,3.292,2.972
Standard,Male,4,25,53.1,2.855,2.621,3.111,3.519,3.283
Large,Male,4,25,64.55,3.392,3.125,3.682,4.027,3.779
Giant,Male,4,25,90.65,2.382,2.098,2.704,3.033,2.719
Toy and Small,Female,4.5,25,6.35,2.283,2.125,2.453,2.925,2.749
Medium,Female,4.5,25,20.35,1.644,1.448,1.868,2.171,1.906
Standard,Female,4.5,25,43.15,1.677,1.526,1.842,2.212,2.015
Large,Female,4.5,25,54.1125,1.924,1.753,2.111,2.517,2.309
Giant,Female,4.5,25,79.275,1.332,1.164,1.524,1.736,1.461
Toy and Small,Male,4.5,25,7.8,3.830,3.570,4.109,4.415,4.187
Medium,Male,4.5,25,24.71625,2.649,2.336,3.003,3.311,2.983
Standard,Male,4.5,25,53.15,2.852,2.607,3.119,3.515,3.269
Large,Male,4.5,25,65.675,3.393,3.116,3.695,4.028,3.770
Giant,Male,4.5,25,91.6375,2.383,2.093,2.713,3.033,2.713
Toy and Small,Female,5,25,6.2,2.288,2.119,2.470,2.931,2.743
Medium,Female,5,25,19.7,1.664,1.460,1.896,2.196,1.923
Standard,Female,5,25,44.1,1.664,1.509,1.836,2.197,1.991
Large,Female,5,25,54.125,1.919,1.742,2.115,2.511,2.295
Giant,Female,5,25,78.2,1.326,1.154,1.523,1.728,1.445
Toy and Small,Male,5,25,7.8,3.820,3.543,4.119,4.407,4.163
Medium,Male,5,25,24.2325,2.665,2.343,3.032,3.328,2.991
Standard,Male,5,25,53.2,2.845,2.589,3.126,3.508,3.250
Large,Male,5,25,66.8,3.390,3.099,3.708,4.025,3.755
Giant,Male,5,25,92.625,2.381,2.084,2.719,3.031,2.703
Toy and Small,Female,5.5,25,6.32,2.271,2.097,2.460,2.912,2.718
Medium,Female,5.5,25,20.625,1.625,1.423,1.855,2.145,1.871
Standard,Female,5.5,25,43.9,1.660,1.500,1.837,2.191,1.979
Large,Female,5.5,25,53.5625,1.913,1.731,2.115,2.504,2.281
Giant,Female,5.5,25,77.9,1.321,1.147,1.521,1.720,1.431
Toy and Small,Male,5.5,25,7.9,3.795,3.508,4.106,4.385,4.132
Medium,Male,5.5,25,24.44125,2.646,2.321,3.016,3.308,2.967
Standard,Male,5.5,25,53.85,2.832,2.569,3.122,3.496,3.230
Large,Male,5.5,25,66.2,3.375,3.075,3.704,4.011,3.732
Giant,Male,5.5,25,91.7125,2.369,2.068,2.713,3.018,2.685
Toy and Small,Female,6,25,6.44,2.252,2.077,2.442,2.892,2.695
Medium,Female,6,25,21.55,1.586,1.389,1.812,2.095,1.822
Standard,Female,6,25,43.7,1.654,1.493,1.833,2.183,1.968
Large,Female,6,25,53,1.906,1.721,2.110,2.495,2.269
Giant,Female,6,25,77.6,1.314,1.140,1.515,1.710,1.417
Toy and Small,Male,6,25,8,3.766,3.477,4.079,4.359,4.103
Medium,Male,6,25,24.65,2.624,2.300,2.993,3.286,2.944
Standard,Male,6,25,54.5,2.818,2.552,3.110,3.481,3.212
Large,Male,6,25,65.6,3.357,3.054,3.690,3.995,3.711
Giant,Male,6,25,90.8,2.354,2.053,2.700,3.003,2.668
Toy and Small,Female,0.5,50,7.6,1.718,1.599,1.846,2.265,2.112
Medium,Female,0.5,50,21.1,1.266,1.122,1.430,1.635,1.382
Standard,Female,0.5,50,36.55,1.375,1.270,1.489,1.801,1.642
Large,Female,0.5,50,43.1,1.555,1.432,1.690,2.054,1.883
Giant,Female,0.5,50,60.1,1.015,0.888,1.159,1.111,1.000
Toy and Small,Male,0.5,50,9.05,2.884,2.692,3.089,3.546,3.355
Medium,Male,0.5,50,23.175,2.132,1.892,2.403,2.758,2.479
Standard,Male,0.5,50,42.7,2.308,2.137,2.494,2.953,2.763
Large,Male,0.5,50,50.8,2.655,2.457,2.870,3.318,3.112
Giant,Male,0.5,50,70.2725,1.803,1.590,2.044,2.371,2.100
Toy and Small,Female,1,50,8.2,1.985,1.862,2.115,2.588,2.443
Medium,Female,1,50,24.4,1.398,1.240,1.575,1.834,1.593
Standard,Female,1,50,44.8,1.531,1.413,1.660,2.021,1.856
Large,Female,1,50,51.8,1.777,1.636,1.930,2.339,2.160
Giant,Female,1,50,76,1.220,1.075,1.384,1.559,1.284
Toy and Small,Male,1,50,10.2,3.277,3.082,3.484,3.921,3.738
Medium,Male,1,50,27.1,2.343,2.083,2.636,2.991,2.702
Standard,Male,1,50,54.6,2.622,2.431,2.828,3.284,3.085
Large,Male,1,50,64.6,3.120,2.902,3.355,3.774,3.564
Giant,Male,1,50,94.8,2.205,1.958,2.484,2.839,2.557
Toy and Small,Female,1.5,50,8.45,2.087,1.960,2.221,2.707,2.560
Medium,Female,1.5,50,24.8,1.470,1.305,1.657,1.938,1.695
Standard,Female,1.5,50,47.3,1.607,1.481,1.742,2.122,1.953
Large,Female,1.5,50,56.1,1.875,1.728,2.034,2.458,2.278
Giant,Female,1.5,50,82.3,1.305,1.153,1.478,1.696,1.441
Toy and Small,Male,1.5,50,10.5,3.441,3.240,3.655,4.071,3.887
Medium,Male,1.5,50,28.55,2.429,2.159,2.733,3.083,2.788
Standard,Male,1.5,50,57.6,2.776,2.573,2.994,3.439,3.233
Large,Male,1.5,50,68.5,3.324,3.092,3.574,3.965,3.748
Giant,Male,1.5,50,99.4,2.353,2.089,2.652,3.002,2.708
Toy and Small,Female,2,50,8.7,2.097,1.957,2.246,2.718,2.556
Medium,Female,2,50,25.2,1.478,1.306,1.673,1.949,1.698
Standard,Female,2,50,49.8,1.615,1.481,1.761,2.133,1.952
Large,Female,2,50,60.4,1.900,1.743,2.070,2.488,2.296
Giant,Female,2,50,88.6,1.335,1.175,1.516,1.741,1.483
Toy and Small,Male,2,50,10.8,3.453,3.230,3.691,4.082,3.877
Medium,Male,2,50,30,2.410,2.133,2.722,3.062,2.759
Standard,Male,2,50,60.6,2.813,2.589,3.056,3.477,3.250
Large,Male,2,50,72.4,3.386,3.126,3.669,4.022,3.780
Giant,Male,2,50,104,2.400,2.117,2.721,3.052,2.741
Toy and Small,Female,2.5,50,8.75,2.108,1.956,2.270,2.730,2.555
Medium,Female,2.5,50,25.8,1.473,1.297,1.673,1.941,1.683
Standard,Female,2.5,50,50.35,1.624,1.480,1.781,2.144,1.952
Large,Female,2.5,50,60.7,1.913,1.745,2.096,2.504,2.299
Giant,Female,2.5,50,90.1,1.347,1.181,1.536,1.760,1.493
Toy and Small,Male,2.5,50,11,3.455,3.214,3.715,4.084,3.862
Medium,Male,2.5,50,30.1,2.422,2.136,2.747,3.076,2.762
Standard,Male,2.5,50,60.825,2.832,2.591,3.097,3.496,3.252
Large,Male,2.5,50,72.95,3.412,3.129,3.721,4.045,3.782
Giant,Male,2.5,50,105.15,2.420,2.124,2.758,3.074,2.749
Toy and Small,Female,3,50,8.8,2.113,1.966,2.271,2.737,2.567
Medium,Female,3,50,26.4,1.465,1.290,1.662,1.930,1.673
Standard,Female,3,50,50.9,1.629,1.486,1.785,2.150,1.959
Large,Female,3,50,61,1.921,1.755,2.103,2.514,2.311
Giant,Female,3,50,91.6,1.356,1.189,1.546,1.773,1.507
Toy and Small,Male,3,50,11.2,3.450,3.216,3.700,4.079,3.865
Medium,Male,3,50,30.2,2.429,2.144,2.753,3.083,2.771
