"","Intact, n = 109,467","Spayed/neutered, n =  45,732"
"Female","39,136 (36)","21,741 (48)"
"Mixed breed","21,048 (19)","14,306 (31)"
"Age in years (median, IQR)","3 (1, 6)","1 (0, 1)"
"Age","",""
"  3 mo to 6 mo","7,939 (7)","16,809 (37)"
"  > 6 mo to 1 y","10,290 (9)","18,894 (41)"
"  > 1 y to 2 y","21,519 (20)","5,421 (12)"
"  > 2 y","69,719 (64)","4,608 (10)"
"Breed size","",""
"  Toy and Small","66,288 (61)","23,714 (52)"
"  Medium","4,723 (4)","2,940 (6)"
"  Standard","17,174 (16)","7,241 (16)"
"  Large","16,551 (15)","9,818 (21)"
"  Giant","4,731 (4)","2,019 (4)"
"Follow-up in days for overweight/obese (median, IQR)","664 (282, 1,399)","549 (220, 1,265)"
"Follow-up in days for obese (median, IQR)","889 (341, 1,780)","1,115 (307, 1,825)"
